Smile,KI/ICP
COC(=O)C1C2CCC3CC1\C(CN23)=C\c1ccc2ccc3cccc4ccc1c2c34,9920
CN(C)CCCOc1nc(nc2ccccc12)-c1ccccc1,9900
COC(=O)C1C2CCC(C[C@@H]1OC(=O)c1ccccc1)O2,9777
COC(=O)[C@H]1C2CC[C@@H]3C[C@@H]1\C(CN23)=C\c1cccc2ccccc12,9720
COC(=O)C1C2CCC3CC1\C(CN23)=C\c1cccc2ccccc12,9720
OC[C@H]1C2CC[C@@H]3C[C@@H]1\C(CN23)=C\c1ccccc1,9690
CCN(CCN1CCCCC1)CCc1ccccc1OC(F)(F)F,9530
CN(C)C(=O)CSC(c1ccc(F)cc1)c1ccc(F)cc1,9510
CN1CCC2(OC(=O)OC(C2C1)c1ccc(C)cc1)c1ccc(C)cc1,9480
COC(=O)[C@@H]1C2CCC(C[C@@H]1OC(=O)c1ccccc1)O2,9400
CNCCCC1(SC(C)(C)c2ccccc12)c1ccccc1,9300
Clc1ccc(cc1)-c1noc(=O)n1-c1ccccc1,9180
CNC(C)C(O)c1ccccc1,9125
Fc1ccc(COc2ccccc2C2CCNCC2)cc1,9120
CN1CCC(CC1)Oc1nc(nc2ccccc12)-c1ccccc1,9100
Clc1ccc(cc1Cl)C1=C(CCC1)C(=O)NC1CCC1,9000
CNCc1cc(ccc1Oc1ccc(cc1)C(F)(F)F)C(=O)N1CCCN(CC1)C1CC1,9000
FCCCOc1ccccc1S[C@H]([C@@H]1CNCCO1)c1ccccc1,9000
COC(=O)C1C2CCC3CN2C\C(=C/c2cc(Cl)c(c(Cl)c2)-c2ccccc2)C1CC3,8742
C(Oc1ccccc1N1CCNCC1)c1ccccc1,8720
CON(C)C(=O)C1C2CCC3CC1\C(CN23)=C\c1ccc(Cl)c(Cl)c1,8620
CCCC[C@@H]1CC2[C@@H](CC(=O)OC)[C@@H](Cc3ccccc3)CC1N2C,8580
NCC1CCC(O1)c1cccc2ccccc12,8519
COC(=O)[C@@H]1CN(C)CC[C@@H]1c1ccccc1,8510
COc1c(F)ccc(F)c1C1CCN(CC1)c1ccn2c(CC3CC3)nnc2c1Cl,8500
CCC(CC(=O)c1ccc(Cl)c(Cl)c1)N1CCCC1,8440
NNCCc1ccccc1,8400
CN1CCC(CC1)(C#N)c1ccc(I)cc1,8340
CNCc1cc(ccc1Oc1ccc(SC)cc1)C(=O)N1CCN(CC1)C1CC1,8300
O=C1CN(CCOC(c2ccccc2)c2ccccc2)CCN1CCCc1ccccc1,8200
