Smiles,Value
Fc1ccc(cc1)C(OCCN1CCN(CCCc2ccccc2)CC1)c1ccc(F)cc1,1.22184875
COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(I)cc1)N2,0.920818754
CN1C2CCC1[C@@H](\C=C/c1ccccc1)[C@H](C2)c1ccc(Cl)cc1,0.853871964
CCC(=O)C1C2CCC(CC1c1ccc3ccccc3c1)N2C,0.853871964
c1ccc(cc1)C(c1ccccc1)c1ccncc1,0.698970004
COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(Cl)c(Cl)c1)N2C,0.698970004
CN1C2CCC1[C@@H](\C=C\Cl)[C@H](C2)c1ccc(Cl)cc1,0.657577319
CN1C2CCC1[C@@H](\C=C/Cl)[C@H](C2)c1ccc(Cl)cc1,0.657577319
COC(=O)C1C2CCC(CC1c1ccc(Br)cc1)N2C,0.522878745
CN1C2CCC1[C@@H](\C=C\c1ccccc1)[C@H](C2)c1ccc(Cl)cc1,0.508638306
Fc1ccc(cc1)C(OCCN1CCN(CCCc2ccccc2)CC1)c1cccc(F)c1,0.443697499
CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)c1ccc(I)cc1)C(=O)N1CCCC1,0.431798276
CC(C)OC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccc(I)cc1)N2C,0.397940009
COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(Br)cc1)N2C\C=C\CF,0.397940009
O[C@H](CN1CCC(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1)Cc1ccccc1,0.397940009
CN[C@H]1C[C@@H](c2ccccc12)c1ccc(Cl)c(Cl)c1,0.387216143
COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(Br)cc1)N2C,0.37675071
C(CN1CCN(CCOC(c2ccccc2)c2ccccc2)CC1)Cc1ccccc1,0.37675071
Fc1ccc(cc1)C(OCCC1CCN(C\C=C\c2ccccc2)CC1)c1ccc(F)cc1,0.346787486
COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccc(I)cc1)N2C,0.318758763
COC(=O)C1C2CCC(CN2C)C[C@@H]1c1ccc(I)cc1,0.318758763
CNCCCN1c2ccccc2CCc2ccccc12,0.30980392
Fc1ccc(cc1)C(OCCC1CCN(C[C@@H]2C[C@H]2c2ccccc2)CC1)c1ccc(F)cc1,0.301029996
COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(I)cc1)N2C\C=C\CF,0.301029996
COC(=O)C1C2CCC(CC1c1ccc(Br)cc1)N2,0.283996656
CN1C2CCC1C(C(C2)c1ccc(I)cc1)C(=O)OCCOS(=O)(=O)c1ccccc1,0.283996656
FCCOC(=O)C1C2CCC(CC1c1ccc(Br)cc1)N2,0.244125144
CN1C2CCC1[C@H](C(C2)c1ccc(Cl)cc1)c1nc(no1)-c1ccccc1,0.229147988
CN1C2CCC1[C@@H](C=C)[C@H](C2)c1ccc(Cl)cc1,0.229147988
COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(Cl)cc1)N2C\C=C\CF,0.22184875
COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1c1ccc(Cl)cc1)N2,0.207608311
COC(=O)C1C2CCC(CC1c1ccc(I)cc1)N2,0.193820026
COC(=O)C1C2CCC(CC1c1ccc(Cl)cc1)N2C\C=C\I,0.161150909
Fc1ccc(cc1)C(OCCN1CCN(Cc2cc3ccccc3[nH]2)CC1)c1ccc(F)cc1,0.15490196
COC(=O)[C@@H]1C2CCC(CC1c1ccc(Cl)c(Cl)c1)N2C\C=C\I,0.15490196
Fc1ccc(cc1)C(OCCC1CCN(Cc2ccc3ccccc3c2)CC1)c1ccc(F)cc1,0.15490196
FCCCOC(=O)C1C2CCC(CC1c1ccc(Br)cc1)N2,0.142667504
Fc1ccc(cc1)C(OCCC1CCN(Cc2cc3ccccc3[nH]2)CC1)c1ccc(F)cc1,0.13667714
COc1ccc2C(CN(C)Cc2c1)c1ccc(Cl)c(Cl)c1,0.13076828
O[C@H](CN1CCN(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1)Cc1ccccc1,0.124938737
COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1c1ccc(Cl)c(C)c1)N2C,0.096910013
O[C@H](CCN1CCC(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccccc1,0.096910013
COC(=O)C1C2CCC(CC1c1ccc(Cl)cc1)N2C,0.080921908
COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1c1ccc(I)cc1)N2C,0.080921908
CCCC[C@@H]1C2CCC(C[C@@H]1c1ccc(Cl)cc1)N2C,0.075720714
FCCOC(=O)C1C2CCC(CC1c1ccc(I)cc1)N2,0.070581074
Nc1ccc(cc1)[C@H]1CN2CCC[C@H]2c2ccccc12,0.065501549
Nc1ccc(cc1)[C@@H]1CN2CCC[C@@H]2c2ccccc12,0.065501549
COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1c1ccc(C)cc1)N2C\C(I)=C\C(F)(F)F,0.060480747
Fc1ccc(cc1)C(OCCN1CCN(C\C=C\c2ccccc2)CC1)c1ccc(F)cc1,0.045757491
CC(C)OC(=O)C1C2CCC(CN2C)C[C@@H]1c1ccc(Cl)cc1,0.045757491
O[C@@H](CCN1CCC(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccccc1,0.045757491
C[C@@H](CN1CCC(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1)Cc1ccccc1,0.045757491
C[C@@H](CCNCCCC(N)=O)CC1(CCC1)c1ccc(Cl)c(Cl)c1,0.040958608
Oc1ccccc1\C=C\CN1CCN(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0.036212173
CN1C2CCC1C(C(C2)c1ccc(I)cc1)C(=O)OCCF,0.031517051
